,noise,name,dotted_val,striped_val,zigzagged_val,dotted_std,striped_std,zigzagged_std
0,00,mixed3a,0.01,0.01,0.01,0.0,0.0,0.0
1,00,mixed3b,0.36833333333333335,0.01,0.01,0.05254627590144815,0.0,0.0
2,00,mixed4a,0.17,0.01,0.2533333333333333,0.0554276304943863,0.0,0.06843488389215936
3,00,mixed4b,0.18666666666666668,0.01,0.345,0.08491826135237998,0.0,0.10036046144883065
4,00,mixed4c,0.01,0.01,0.01,0.0,0.0,0.0
5,00,mixed4d,0.01,0.82,0.01,0.0,0.0978377341429278,0.0
6,00,mixed4e,0.01,0.9099999999999999,0.01,0.0,0.134412301024373,0.0
7,00,mixed5a,0.01,0.9266666666666665,0.7366666666666666,0.0,0.08934950102453472,0.13535960336164635
8,00,mixed5b,0.065,0.9816666666666667,0.01,0.10333333333333332,0.03666666666666667,0.0
9,10,mixed3a,0.29333333333333333,0.01,0.01,0.046963342678684565,0.0,0.0
10,10,mixed3b,0.26833333333333337,0.01,0.305,0.08682677518420737,0.0,0.08605553762283723
11,10,mixed4a,0.145,0.01,0.2783333333333333,0.10091250335480403,0.0,0.09626352718795769
12,10,mixed4b,0.19166666666666668,0.01,0.01,0.12920698295542873,0.0,0.0
13,10,mixed4c,0.095,0.7116666666666667,0.01,0.031001792062897122,0.14621141466307538,0.0
14,10,mixed4d,0.01,0.7533333333333333,0.01,0.0,0.10601362595859498,0.0
15,10,mixed4e,0.1816666666666667,0.9316666666666666,0.01,0.15342388630486745,0.035512126254437504,0.0
16,10,mixed5a,0.13,0.9683333333333334,0.23000000000000004,0.15604486534327236,0.0429469957557504,0.049046463231873866
17,10,mixed5b,0.01,0.95,0.01,0.0,0.07011894655987545,0.0
18,20,mixed3a,0.18,0.01,0.01,0.05441609239104836,0.0,0.0
19,20,mixed3b,0.20166666666666666,0.01,0.295,0.0703957069398096,0.0,0.1464961129556382
20,20,mixed4a,0.12333333333333334,0.01,0.21500000000000002,0.051478150704935006,0.0,0.0432691832858239
21,20,mixed4b,0.10166666666666666,0.01,0.25999999999999995,0.03741657386773941,0.0,0.06267198558987722
22,20,mixed4c,0.12333333333333334,0.01,0.29833333333333334,0.06527718675855379,0.0,0.11443095929181249
23,20,mixed4d,0.01,0.01,0.01,0.0,0.0,0.0
24,20,mixed4e,0.255,0.9216666666666665,0.01,0.10588253449512394,0.07408703590297623,0.0
25,20,mixed5a,0.17333333333333334,0.9466666666666667,0.01,0.13533908033774528,0.0706320670013903,0.0
